seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,compass_magneticBearing,accelerometer_z,accelerometer_y,accelerometer_x
0.000000,0.031317,-0.094014,0.189399,147.938971,-1.000000,-1.000000,52.223606,117.348971,-1.000000,41.243386,30.001593,20.941286,-1.000000,0.033068,-0.071085,0.205385,2.022549,0.075238,0.833584,0.076387,0.512978,0.190597,0.406011,-0.900638,-0.389170,0.059258,169.888405,0.218714,0.043596,-0.086806
0.100000,0.071905,-0.047113,-0.054398,,,,,,,,,,,0.073084,-0.049727,-0.056969,2.026823,0.078466,0.834195,0.069493,0.511651,0.190188,0.408901,-0.901105,-0.391812,0.054109,169.240633,0.196403,0.053435,-0.091518
0.200000,0.073632,-0.048925,-0.001307,,,,,,,,,,,0.074533,-0.053065,-0.007825,2.034896,0.081156,0.835958,0.060824,0.509144,0.188037,0.408268,-0.891820,-0.395331,0.048126,168.322758,0.180855,0.021716,-0.055150
0.300000,0.070890,-0.088288,-0.064436,,,,,,,,,,,0.070801,-0.093345,-0.061827,2.043854,0.083208,0.838345,0.049354,0.506931,0.182406,0.400847,-0.908966,-0.390007,0.041621,167.226689,0.064547,0.001685,-0.011228
0.400000,-0.025657,-0.123339,0.001296,,,,,,,,,,,-0.025974,-0.130776,0.010935,2.046110,0.086409,0.838825,0.038291,0.507272,0.177699,0.396058,-0.960303,-0.392281,0.034076,166.410889,-0.273311,-0.033818,-0.009779
0.500000,0.091351,-0.497032,0.225664,,,,,,,,,,,0.095691,-0.505286,0.207466,2.047709,0.103328,0.836025,0.011400,0.507704,0.180433,0.418757,-0.925975,-0.420676,0.025012,165.141202,-0.249536,-0.151819,0.175566
0.600000,0.018845,-0.204342,-0.279055,150.725354,-1.000000,-1.000000,52.223699,120.135354,-1.000000,39.263866,30.000000,20.941254,-1.000000,0.014230,-0.190772,-0.260699,2.057014,0.117011,0.837486,-0.033797,0.508541,0.162103,0.401219,-0.920593,-0.370758,-0.050345,161.500018,0.139866,0.115763,-0.172138
0.700000,-0.112209,-0.143129,-0.127436,,,,,,,,,,,-0.110765,-0.141847,-0.135351,2.048960,0.120539,0.835480,-0.045920,0.513245,0.154910,0.392607,-0.860519,-0.362965,-0.057417,160.588203,0.535212,0.229406,-0.104815
0.800000,0.066098,0.047886,0.227841,,,,,,,,,,,0.070994,0.036760,0.224352,2.045275,0.121533,0.834231,-0.045328,0.514588,0.156421,0.396368,-0.882542,-0.400859,-0.028572,160.564436,0.392263,-0.114491,0.089549
0.900000,0.100856,-0.022686,0.253136,,,,,,,,,,,0.099932,-0.022701,0.255835,2.056059,0.129134,0.834639,-0.053710,0.509935,0.163235,0.416094,-0.924799,-0.402504,-0.051576,160.395888,-0.126398,0.030942,-0.031152
