seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,compass_magneticBearing,accelerometer_z,accelerometer_y,accelerometer_x
0.000000,0.021227,-0.000023,0.006202,155.057018,-1.000000,-1.000000,52.223741,124.467018,-1.000000,129.180910,3.257426,20.941267,-1.000000,0.022022,0.002816,-0.000928,-2.889663,0.051852,-0.950862,0.034348,0.125306,-0.278337,0.573189,-0.826456,-0.539238,0.032101,135.148306,0.110598,0.038055,0.046698
0.100000,-0.003485,0.240983,0.115346,,,,,,,,,,,-0.001504,0.235982,0.117282,-2.888801,0.057418,-0.948944,0.044485,0.127049,-0.282919,0.584222,-0.844806,-0.550235,0.034912,136.767451,-0.108438,0.007251,-0.014252
0.200000,0.108022,0.103269,0.234599,,,,,,,,,,,0.107919,0.106112,0.236401,-2.884999,0.066752,-0.945773,0.061045,0.131117,-0.289553,0.600706,-0.804192,-0.550880,0.056525,139.244164,0.217097,0.128910,0.053703
0.300000,0.042580,0.062674,0.135517,,,,,,,,,,,0.045513,0.058858,0.133829,-2.874754,0.069159,-0.942504,0.060860,0.135838,-0.297389,0.617965,-0.794922,-0.582587,0.033459,140.123777,0.178793,-0.030571,-0.150242
0.400000,0.015448,-0.058061,0.090168,154.851116,-1.000000,-1.000000,52.223769,124.261116,-1.000000,35.000000,5.981706,20.941377,-1.000000,0.017331,-0.066977,0.091645,-2.872586,0.068701,-0.940459,0.057553,0.136271,-0.303715,0.631046,-0.795731,-0.589709,0.047197,140.883223,0.092489,0.002434,0.000040
0.500000,-0.051533,-0.030355,0.059625,,,,,,,,,,,-0.050048,-0.034122,0.064813,-2.875170,0.068708,-0.939234,0.057284,0.134952,-0.308063,0.640047,-0.759843,-0.592696,0.040044,141.179201,0.401238,0.052433,-0.054776
0.600000,0.008494,0.098242,-0.197117,149.885437,0.030000,-1.000000,52.223773,119.295437,-1.000000,3.535534,4.000000,20.941270,0.000000,0.005291,0.095974,-0.198160,-2.879221,0.070591,-0.940606,0.063647,0.134071,-0.303793,0.631598,-0.804507,-0.579198,0.059148,141.127316,-0.009457,0.112559,0.078870
0.700000,0.063427,0.016402,0.073948,,,,,,,,,,,0.065399,0.017723,0.072151,-2.872691,0.072568,-0.941001,0.066496,0.137609,-0.300516,0.625555,-0.837080,-0.596288,0.042093,141.122629,-0.266912,-0.111716,-0.114980
0.800000,-0.001013,-0.007588,0.148977,,,,,,,,,,,0.001360,-0.013865,0.143306,-2.868697,0.071389,-0.939639,0.061691,0.138714,-0.304523,0.633652,-0.816595,-0.600333,0.045793,141.104411,-0.098742,-0.072719,-0.037408
0.900000,-0.110944,0.119388,0.206445,,,,,,,,,,,-0.107387,0.104136,0.204119,-2.875006,0.073943,-0.937330,0.067225,0.136521,-0.311907,0.649651,-0.807271,-0.606961,0.057181,142.156015,-0.136230,-0.008557,0.053716
1.000000,0.072737,-0.237692,-0.118464,,,,,,,,,,,0.064816,-0.225941,-0.113259,-2.878750,0.080786,-0.935326,0.081820,0.137016,-0.315955,0.660108,-0.733801,-0.599173,0.104408,144.076494,0.502561,0.134485,0.394688
1.100000,0.052501,0.243376,0.227462,,,,,,,,,,,0.071955,0.238738,0.214009,-2.861508,0.074631,-0.934481,0.062504,0.142004,-0.317761,0.662518,-0.778143,-0.605634,0.028116,142.503745,0.094343,0.061160,-0.238871
1.200000,-0.006633,0.374414,0.230165,,,,,,,,,,,-0.014923,0.363323,0.240609,-2.877175,0.089939,-0.928524,0.096704,0.140133,-0.331737,0.696197,-0.755013,-0.632594,0.079640,146.622089,0.080545,0.087712,0.068547
1.300000,-0.218256,-0.343346,0.028135,,,,,,,,,,,-0.220528,-0.321454,0.035410,-2.894843,0.099438,-0.926914,0.122518,0.136266,-0.335140,0.705513,-0.722174,-0.643394,0.108792,149.632074,0.337927,0.051245,0.164924
1.400000,-0.201015,0.080250,0.052225,,,,,,,,,,,-0.196455,0.052318,0.052774,-2.918726,0.087633,-0.930316,0.106326,0.122433,-0.334375,0.699179,-0.781644,-0.652715,0.055667,147.622524,-0.170476,-0.086068,-0.247897
1.500000,-0.215981,0.196057,-0.280012,149.924072,0.030000,-1.000000,52.223773,119.334072,-1.000000,3.660199,4.000000,20.941270,0.000000,-0.213224,0.198333,-0.279576,-2.940753,0.099737,-0.932587,0.141308,0.117739,-0.326242,0.684102,-0.717917,-0.650008,0.059402,149.798080,0.456506,-0.162361,-0.451671
1.600000,-0.139917,-0.155716,-0.090975,,,,,,,,,,,-0.140834,-0.170661,-0.093673,-2.959917,0.100739,-0.936648,0.151556,0.110072,-0.316865,0.663375,-0.818539,-0.592818,0.149889,150.181192,-0.400994,0.226889,0.283808
1.700000,0.396044,-0.627764,-0.322159,,,,,,,,,,,0.388982,-0.631319,-0.327788,-2.951267,0.085830,-0.941122,0.118597,0.108687,-0.308005,0.641403,-0.790933,-0.560568,0.150539,146.589262,0.024918,0.358283,0.521032
1.800000,0.036179,0.086748,-0.074591,,,,,,,,,,,0.043800,0.088424,-0.078996,-2.908107,0.067280,-0.943828,0.066980,0.121003,-0.300015,0.621945,-0.841226,-0.601811,0.024112,140.792085,-0.276595,-0.172114,-0.289773
1.900000,0.025341,0.041699,-0.078622,,,,,,,,,,,0.020088,0.049879,-0.080069,-2.907537,0.071618,-0.944410,0.076645,0.122714,-0.296454,0.615706,-0.809386,-0.602534,0.049423,141.021761,0.026731,-0.235789,-0.121847
2.000000,0.408700,-0.343488,-0.078102,,,,,,,,,,,0.411963,-0.343433,-0.082386,-2.877691,0.058663,-0.944379,0.040447,0.131493,-0.295532,0.610847,-0.802364,-0.552867,0.056882,138.196988,0.144282,0.183179,0.204964
2.100000,-0.003933,0.215326,-0.024242,,,,,,,,,,,0.001399,0.188312,-0.014645,-2.851840,0.048147,-0.943298,0.009841,0.139122,-0.297494,0.612178,-0.803555,-0.579222,0.004904,135.469960,0.158536,-0.027195,-0.005028
2.200000,0.114660,0.177767,0.153714,,,,,,,,,,,0.116306,0.180538,0.147875,-2.847452,0.059023,-0.941982,0.031107,0.144302,-0.297233,0.615075,-0.844798,-0.563580,0.038350,137.006728,-0.259008,0.121956,0.109255
2.300000,0.043050,0.134187,0.006377,,,,,,,,,,,0.043257,0.137896,0.008811,-2.839963,0.068522,-0.939656,0.047756,0.150203,-0.299638,0.623282,-0.789894,-0.583549,0.034740,138.653753,0.216074,-0.008195,-0.034456
2.400000,-0.017832,-0.053860,-0.034034,,,,,,,,,,,-0.015095,-0.049640,-0.039440,-2.834153,0.068318,-0.939790,0.045962,0.152706,-0.298001,0.619939,-0.802255,-0.599364,0.011914,138.632376,0.093757,-0.163862,-0.236811
2.500000,0.031030,-0.203607,0.111022,149.967346,0.060000,-1.000000,52.223773,119.377346,-1.000000,3.798186,4.000000,20.941270,0.000000,0.035703,-0.213412,0.114052,-2.834060,0.060483,-0.939222,0.028143,0.149956,-0.302824,0.627326,-0.810503,-0.577585,0.006291,137.573950,-0.001989,0.084312,-0.193000
2.600000,0.016968,-0.001387,-0.132215,,,,,,,,,,,0.019478,-0.006702,-0.129199,-2.832695,0.056264,-0.939471,0.018805,0.149201,-0.303254,0.626838,-0.759186,-0.535796,0.014731,136.956536,0.478805,0.507211,-0.003347
2.700000,0.082121,-0.319626,0.000794,,,,,,,,,,,0.074137,-0.306903,-0.002101,-2.832154,0.051048,-0.941067,0.008934,0.148148,-0.299689,0.617718,-0.793451,-0.522946,0.040733,135.524113,0.238884,0.536064,0.327330
2.800000,0.174403,-0.154451,-0.485207,,,,,,,,,,,0.184736,-0.181766,-0.460940,-2.810789,0.032858,-0.943326,-0.032993,0.152581,-0.292770,0.597279,-0.796571,-0.576932,-0.034050,131.564782,0.261181,-0.160883,-0.099410
2.900000,0.023729,0.169786,-0.901190,,,,,,,,,,,0.013922,0.207382,-0.924737,-2.807715,0.034366,-0.953926,-0.016532,0.158552,-0.251949,0.514025,-0.946887,-0.522960,-0.023279,125.353264,-0.739528,-0.240033,-0.042138
3.000000,1.416249,-1.536320,-0.435022,,,,,,,,,,,1.388886,-1.517552,-0.432703,-2.743644,-0.014114,-0.955553,-0.121894,0.179070,-0.231599,0.451989,-0.706862,-0.390445,0.008266,113.177221,1.783385,0.436648,1.084610
3.100000,0.737210,-1.544284,-0.430149,,,,,,,,,,,0.766772,-1.559264,-0.398946,-2.605829,-0.108587,-0.940788,-0.338224,0.224525,-0.228304,0.390486,-0.691783,-0.350230,-0.358936,97.834221,1.876126,0.402915,-0.530717
3.200000,0.283586,-0.384218,-1.272279,,,,,,,,,,,0.291487,-0.420486,-1.278750,-2.605587,-0.177317,-0.938867,-0.450554,0.225623,-0.189275,0.279121,-0.806699,-0.278822,-0.501073,86.994362,0.515137,-0.087008,-0.854528
3.300000,0.186338,-0.506491,-0.923834,,,,,,,,,,,0.188380,-0.500967,-0.924399,-2.624893,-0.202884,-0.941700,-0.470493,0.227984,-0.140972,0.173920,-0.905199,-0.126558,-0.488455,79.544015,-0.332485,0.485570,-0.400780
3.400000,0.412968,-0.035824,-0.851995,,,,,,,,,,,0.406780,-0.073778,-0.838082,-2.631440,-0.233260,-0.938018,-0.511830,0.232377,-0.107567,0.093533,-1.049989,-0.083270,-0.504939,75.377007,-1.766794,0.084167,-0.194099
3.500000,0.525810,-0.449198,-0.337859,150.017761,0.070000,-1.000000,52.223773,119.427761,-1.000000,3.759076,4.000000,20.941271,0.000000,0.520846,-0.373350,-0.402473,-2.629992,-0.239487,-0.937246,-0.497364,0.246543,-0.057008,-0.011317,-0.948276,-0.005098,-0.380879,69.383858,-0.605039,-0.071378,1.011693
3.600000,2.889852,-6.151606,3.175490,,,,,,,,,,,2.789069,-6.038836,3.078411,-2.450458,-0.369277,-0.858733,-0.812153,0.309218,-0.132890,-0.012136,-0.499966,0.630466,0.062061,69.732756,1.876837,6.226978,7.575008
3.700000,4.966148,-4.541927,4.566401,,,,,,,,,,,5.020138,-4.649485,4.579090,-1.897110,-0.562128,-0.573419,-1.361623,0.508870,-0.286589,-0.256130,-0.070338,0.920375,-1.309700,54.392421,1.375303,6.480254,-4.046778
3.800000,1.413891,-1.609399,0.264578,,,,,,,,,,,1.414229,-1.725382,0.385600,-1.517643,-0.587981,-0.360812,-1.506435,0.630352,-0.354269,-0.507261,0.855165,0.362984,-1.667268,40.039262,8.987158,-1.161989,-7.522644
3.900000,2.158330,1.983375,0.005678,,,,,,,,,,,2.167196,1.965428,-0.010654,-1.570265,-0.631232,-0.318639,-1.520444,0.645202,-0.286370,-0.685285,-0.147894,0.610265,-0.670723,31.227909,-1.306363,-0.179037,1.036682
4.000000,1.697684,-0.269700,1.116033,,,,,,,,,,,1.803962,-0.258000,1.140171,-1.411298,-0.616752,-0.266038,-1.298971,0.714705,-0.191369,-0.894595,-0.074423,0.542525,-0.764857,19.059744,0.942873,-2.462874,-1.858085
4.100000,-3.331156,-0.567433,-1.313883,,,,,,,,,,,-3.308117,-0.561051,-1.271267,-1.477526,-0.615889,-0.299101,-1.379599,0.687490,-0.235366,-0.784806,0.039240,0.434241,-1.272154,23.835217,1.594669,-2.516365,-5.513593
