seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,location_altitude,location_speedAccuracy,location_bearingAccuracy,location_latitude,location_altitudeAboveMeanSeaLevel,location_bearing,location_horizontalAccuracy,location_verticalAccuracy,location_longitude,location_speed,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,compass_magneticBearing,accelerometer_z,accelerometer_y,accelerometer_x
0.000000,0.053289,0.065942,0.133204,155.811871,-1.000000,-1.000000,52.223365,119.568153,-1.000000,1153.057187,61.331123,20.942057,-1.000000,0.030773,0.041500,0.127385,-1.543138,-0.175137,0.675650,0.112446,-0.709995,0.093409,0.384310,-0.934284,-0.349782,0.120917,291.003866,0.010636,0.302129,0.198729
0.100000,-0.038143,-0.003807,-0.037956,,,,,,,,,,,-0.037885,-0.003634,-0.036103,-1.543054,-0.175459,0.675556,0.109377,-0.709682,0.095838,0.388206,-0.906583,-0.385153,0.085677,289.154762,0.140383,-0.064067,-0.151704
0.200000,-0.382949,0.157119,0.558281,,,,,,,,,,,-0.389981,0.149939,0.554868,-1.562218,-0.190193,0.678049,0.129517,-0.702871,0.099508,0.414021,-0.884357,-0.434816,0.068826,281.692683,0.209124,-0.320023,-0.492262
0.300000,-0.642522,-0.268580,0.277480,,,,,,,,,,,-0.641987,-0.274990,0.283790,-1.629466,-0.199584,0.697637,0.148096,-0.679728,0.106387,0.433234,-0.939284,-0.389850,0.146169,276.670408,-0.400126,0.294022,0.132422
0.400000,0.015814,0.158359,-0.083468,151.290325,-1.000000,-1.000000,52.223760,120.700325,-1.000000,35.000000,26.969049,20.941395,-1.000000,0.022912,0.152983,-0.084884,-1.671047,-0.206098,0.709050,0.165439,-0.665673,0.107685,0.441320,-0.852946,-0.425969,0.134209,273.963669,0.373940,0.013244,-0.134428
0.500000,0.462624,-0.862671,0.446057,,,,,,,,,,,0.470445,-0.881478,0.449517,-1.644445,-0.207134,0.699964,0.140647,-0.672189,0.122401,0.466480,-0.914574,-0.422935,0.071512,266.324888,-0.269470,0.274081,-0.514282
0.600000,0.041637,0.063867,0.151518,298.189209,2.880000,68.156832,52.225137,267.599209,12.304688,26.120029,48.000000,20.941301,1.890000,0.043086,0.087086,0.137948,-1.614525,-0.192296,0.694274,0.045317,-0.672555,0.169213,0.516276,-0.825761,-0.517566,0.065710,231.264788,0.410135,-0.253448,0.239106
0.700000,0.453876,0.027542,-0.118077,,,,,,,,,,,0.452014,-0.001882,-0.106894,-1.578615,-0.198108,0.681279,0.068880,-0.687994,0.152314,0.500822,-0.841754,-0.431342,0.098732,246.923128,0.333261,0.491195,0.366336
0.800000,-0.338460,-0.336071,0.095957,,,,,,,,,,,-0.340544,-0.341863,0.101239,-1.571414,-0.187585,0.681958,0.029408,-0.686751,0.167562,0.507733,-0.809721,-0.560986,0.089702,235.009989,0.608140,-0.728475,0.604523
0.900000,0.066004,-0.264856,-0.305092,,,,,,,,,,,0.079672,-0.265861,-0.323186,-1.602062,-0.178452,0.694055,0.002629,-0.673146,0.182307,0.515939,-0.648198,-0.422162,0.087526,214.330005,2.152185,0.655849,0.862937
1.000000,0.428758,-0.211926,-0.921583,,,,,,,,,,,0.426879,-0.199626,-0.922854,-1.562787,-0.141752,0.689983,-0.049663,-0.687717,0.174797,0.451411,-0.893915,-0.355901,-0.193672,170.357559,0.136961,0.790434,-1.436343
1.100000,-0.064478,-0.039004,-0.305552,,,,,,,,,,,-0.066447,-0.044575,-0.297838,-1.550659,-0.116777,0.690645,-0.051627,-0.697743,0.149922,0.379084,-1.163602,-0.367250,-0.104353,176.910008,-2.343624,0.024718,-0.575408
1.200000,-0.044760,0.020454,-0.169835,298.300842,3.130000,76.477410,52.225148,267.710842,12.304688,28.002507,48.000000,20.941305,1.890000,-0.043933,0.011225,-0.166265,-1.564121,-0.108493,0.696486,-0.046851,-0.695299,0.140264,0.353585,-0.980070,-0.342664,0.004524,285.552176,-0.437281,0.043765,0.482133
1.300000,0.025394,-0.094964,0.092233,,,,,,,,,,,0.025369,-0.110193,0.098083,-1.568423,-0.105247,0.698430,-0.045095,-0.694634,0.136375,0.343425,-0.987498,-0.354143,0.011926,357.023300,-0.482976,-0.163307,0.556049
